ADDRESSES	AMOUNTS
0x10eee5ccfb050a9a269ccaa6c4dd3151ef699bc3	5555
0x10b38e21ba4408da9961eaa77264d8149136f29a	5555
0xef709f6bbd1f29f499acf9879ec9f3d15ad05988	5555
0xbdad31246370125d74f16b5ca5ee71ef03891203	5555
0xda500b83824ff16b91fa51b68ad0526a26774dfe	5555
0x7a58de1a32a23aa5c11d2f9dbdcc90eb3f52331f	5555
0x30c8abaec878bcb188ccec6a9116e6c3ebfd451a	5555
0x0bd22bffd0846097cb966d0e916a2f9c5fe2abb1	5555
0xf43826c37ef1549e81a48cd1c03e809fdf46dffa	5555
0x603df772950dc3159e35e86653b04756c03b7ce5	5555
0x85e2c6ca479c3f5921cb83c9f1d39e7efb6a05e1	5555
0xcf744ed952feb7862c2f161591a5f659ddc8babf	5555
0x35ccfcada822e65ae6503492619f7ebb87407154	5555
0xd6c3ab79fb514b69bb5de2db10b3dd61d9f552ce	5555
0x8283f3c3a7d1ad0d890a5d6c9d87749f1bd2db86	5555
0x8224bf67f161da0d6234fcae2c37fe9db7537e48	5555
0x21194fdddf995c9000bfdba4c5fc0e1f1776ea70	5555
0xaf07cadbb206f4924c6a9d06567f21693653c89a	5555
0xaee111b5681e6b601d537b72b0128ebd128e28fe	5555
0x9775cd3f54943411901a7a5a70ac32d6f396bf3e	5555
0x80c1adfb1192d781a03cae1ac84faecac5c91a8a	5555
0xb89d77ec4e141003db5fd44ec25dbfb9cfd284fb	5555
0x726b4514913b3f05d5afd7605938e4c161898d9f	5555
0xb2220476896e72298a28e7ddb995581f5be99f45	5555
0xf3baec40e30f265336af8d836394a2bed722033d	5555
0x0194a4c2359636c2b8b18dbd8f1c2d83aeb2a6fc	5555
0xce02a8010a22c5dc129acf96392a934763c3218b	5555
0x3893e8ef8e9a9d2d1019246f0eaf8cd565faa3b6	5555
0x54db98e67952848fc7c46e5bc4e5f2cdccf4ba24	5555
0x6b9f47ad6fd363a084dc2da991e302393157de65	5555
0x4ef30005640f1c16cf90f1e760138e115346869c	5555
0x6592387b80a35149291f903be73dbf5efbe61dda	5555
0x6f99fdf978d420cd3285768e23fca66a07af8d26	5555
0x5f9f92508d78e5f53fc5ffec5355dab9893a65a8	5555
0x9ceafe83f05358d8247f6aef10039c36f6bc5060	5555
0xccd5668a0689f4d0b32ee4c9c31dbd68da4fe6a3	5555
0xfcb07af256a21b140ab926e731f9c8ffa2dab2a9	5555
0x2b95da51f7741a11cd2fd744207fc6662770c0bc	5555
0x44ab2e43594433e7879b89f5b9755e36723a8e4a	5555
0x1d8bb467ad2aed5afdb2c5842155deeaf30dcaaf	5555
0x5bf5722d62cea5ccff1efc4a6fb37025d45f466a	5555
0x4e2126b92dd3fc678f2ec2d2f2b6fc697a1ea27b	5555
0xa3a748980837f39df22b0f03c3303303dd157c86	5555
0x4c26a59946817a8dff4f20813b309222ec1ca18f	5555
0x6ecc89bd386baff9ae242e5f60ecf59fb0d26109	5555
0x1e1c799308ad9cc7f0bad81bafd3a888b34b8d92	5555
0xe3e758fe7c0ca60fd46b6443e08dbe73e1a48545	5555
0x59ef3a8ae8d975cb04f17b2a8b7043cbb5e0a79c	5555
0xc78d1c9d17423cbcfd199a1472db4b547627517e	5555
0xebdca36ea7be9c96b75240355ec1dd5e88dd8e74	5555
0xbe73db85baa8b82bc18d410f53b30db9e401b80e	5555
0xf8b4233ac22c42090513febc53a9006bfa00f42b	5555
0xb9e5839a65e82f2cbf41de59dc8833d7df017e44	5555
0x185a5e1674d2376451878e4d4975a3f286970861	5555
0x3926c3becee2fdf6e9fa27b270339e500ddf10e1	5555
0x1e6656d11a0ce6e40b58b1cddb34cfd925d5d294	5555
0x99a198f780a988fef85e568ee5defcbc7ec23e9b	5555
0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb	5555
0xc69d07b42ebd2a469e2dcd7942237d42e7078393	5555
0x1cc078ac1bc361a33b6d474fa16ecb5482d04e2f	5555
0x4ad6f140ba48196dd556ed5c94617cc1d09d9139	5555
0x2311897e236e80d412182719d18cc7c217837701	5555
0x5b642351f982face6bc62370cb23ce453d134ae1	5555
0x766fb0e75680e3c4e0114c3ec468665602fd7a2b	5555
0x00c68cc8a0708b2a8a28927a393dcc39188b0dcf	5555
0x652567612629b02a7a7c95c801aa038674096195	5555
0x827ab4ca85acbe3d34e7d4ff203156ff0313a8df	5555
0xec6e2aa082138a85ed228de7e9e2441e10517522	5555
0xeff4308614349a08567a86dbecb23bd68c6269e4	5555
0x0fb70a5f778cd4d1d4c7bee60f3921e15d94131d	5555
0xc1d60d14599dd03ffefd394b9d7e7ed0390e0a2a	5555
0x5d732503fcca74fdad85dbf7060cfe5298a3b0d0	5555
0x5bfdab2e54da1b130e1411b68f50104d9415ca11	5555
0xed8429dd86d463e07367bf5b1674a8397d81e1b5	5555
0xfb12241fcf82d33c12ba03e6c503c8f29f38b6c6	5555
0xcf98808996288a2975d09ae1e2815f8a46dda839	5555
0xb1638b218d9b692d02d6ed901cd7a11b717d466c	5555
0xebbccf8d49a983e83d9c1801c9b2c548cd79e992	5555
0x13c9c8cd5a57d7190f11de5c9098f15a4fe4b9b3	5555
0x5676189d63df7d0b197d7ade2f64e019d039ea08	5555
0x7942c8ea62f4787afc8b71a3666c799e9cd43d74	5555
0x0048cdbfbc0556cb7a6ea7efe2b71e13b9f0d5fd	5555
0x6a6d4e987429f12371300ce7bbb5675d96bd77dc	5555
0x54e87ecdc11acb528fa21599f2e6c7151915a383	5555
0x881a0bec41dd2200ae7ea8949d6969a2b9aeb05e	5555
0xa0d7986b1b96ee611367255296aaa4abbcb25a8d	5555
0xae1c5ecece15994df04b17e870180aee14e45e05	5555
0x0b8812bb9c3e623c73e2daaea5fc7d7315e08633	5555
0x0a7a5da759ec1af38b01d137740f6a251b9b8652	5555
0x0188ae1a528b6f9c916b9a7b389b17d07b131c08	5555
0x1b57ee5a0c021991415c4b4029b741c13c52d152	5555
0x10cdb8529cbb9a39ed98c19465d5544c0c62e444	5555
0x282f54862f7287b7980d29ce13be201dc829407e	5555
0x48d894c3fa3be7a2d82f6ec8d6fa84dc4f17251d	5555
0x8e260c5550d425007bdff4f7475e5617d0fd5819	5555
